sym_psd  random   renorm=False mask=causal beta= 2.0 | F nonincr steps=0.997 seeds mono=0.50 | H seeds mono=0.17 | F -103.61->-110817084691535185754193920.00 norm=1455821025590.99
sym_psd  random   renorm=False mask=causal beta= 4.0 | F nonincr steps=0.997 seeds mono=0.58 | H seeds mono=0.00 | F -52.56->-204074218211109757872242688.00 norm=1882745455065.68
sym_psd  random   renorm=False mask=causal beta= 8.0 | F nonincr steps=0.998 seeds mono=0.67 | H seeds mono=0.00 | F -27.45->-1109120353999775595336040448.00 norm=3871594304257.48
sym_psd  aligned  renorm=True  mask=None   beta= 0.5 | F nonincr steps=1.000 seeds mono=1.00 | H seeds mono=0.00 | F -532.54->-571.80 norm=1.00
sym_psd  aligned  renorm=True  mask=None   beta= 1.0 | F nonincr steps=1.000 seeds mono=1.00 | H seeds mono=0.00 | F -266.41->-305.63 norm=1.00
sym_psd  aligned  renorm=True  mask=None   beta= 2.0 | F nonincr steps=1.000 seeds mono=1.00 | H seeds mono=0.00 | F -133.41->-172.57 norm=1.00
sym_psd  aligned  renorm=True  mask=None   beta= 4.0 | F nonincr steps=1.000 seeds mono=1.00 | H seeds mono=0.00 | F -67.03->-106.05 norm=1.00
sym_psd  aligned  renorm=True  mask=None   beta= 8.0 | F nonincr steps=1.000 seeds mono=1.00 | H seeds mono=0.00 | F -34.13->-72.69 norm=1.00
sym_psd  aligned  renorm=True  mask=causal beta= 0.5 | F nonincr steps=0.980 seeds mono=0.92 | H seeds mono=0.00 | F -411.25->-449.54 norm=1.00
sym_psd  aligned  renorm=True  mask=causal beta= 1.0 | F nonincr steps=0.978 seeds mono=0.92 | H seeds mono=0.00 | F -206.14->-244.37 norm=1.00
sym_psd  aligned  renorm=True  mask=causal beta= 2.0 | F nonincr steps=0.971 seeds mono=0.92 | H seeds mono=0.00 | F -103.67->-141.76 norm=1.00
sym_psd  aligned  renorm=True  mask=causal beta= 4.0 | F nonincr steps=0.991 seeds mono=0.92 | H seeds mono=0.00 | F -52.61->-90.50 norm=1.00
sym_psd  aligned  renorm=True  mask=causal beta= 8.0 | F nonincr steps=1.000 seeds mono=1.00 | H seeds mono=0.00 | F -27.48->-62.24 norm=1.00
sym_psd  aligned  renorm=False mask=None   beta= 0.5 | F nonincr steps=1.000 seeds mono=1.00 | H seeds mono=0.92 | F -532.54->-4407345102020441.50 norm=4473835.09
sym_psd  aligned  renorm=False mask=None   beta= 1.0 | F nonincr steps=1.000 seeds mono=1.00 | H seeds mono=0.92 | F -266.41->-5159925679997519.00 norm=4856120.69
sym_psd  aligned  renorm=False mask=None   beta= 2.0 | F nonincr steps=1.000 seeds mono=1.00 | H seeds mono=1.00 | F -133.41->-7185837563300665.00 norm=5801828.67
sym_psd  aligned  renorm=False mask=None   beta= 4.0 | F nonincr steps=1.000 seeds mono=1.00 | H seeds mono=0.92 | F -67.03->-15566364748031584.00 norm=9195974.15
sym_psd  aligned  renorm=False mask=None   beta= 8.0 | F nonincr steps=1.000 seeds mono=1.00 | H seeds mono=0.33 | F -34.13->-75548659417563120.00 norm=23932818.04
sym_psd  aligned  renorm=False mask=causal beta= 0.5 | F nonincr steps=1.000 seeds mono=1.00 | H seeds mono=0.92 | F -411.25->-200985597149486432.00 norm=31914785.69
sym_psd  aligned  renorm=False mask=causal beta= 1.0 | F nonincr steps=1.000 seeds mono=1.00 | H seeds mono=1.00 | F -206.14->-201302257033126560.00 norm=32375949.36
sym_psd  aligned  renorm=False mask=causal beta= 2.0 | F nonincr steps=1.000 seeds mono=1.00 | H seeds mono=0.92 | F -103.67->-201221617680110464.00 norm=32530513.52
sym_psd  aligned  renorm=False mask=causal beta= 4.0 | F nonincr steps=1.000 seeds mono=1.00 | H seeds mono=0.75 | F -52.61->-212039748536181024.00 norm=36914003.46
sym_psd  aligned  renorm=False mask=causal beta= 8.0 | F nonincr steps=1.000 seeds mono=1.00 | H seeds mono=0.08 | F -27.48->-226792131694304640.00 norm=42434427.25
